Timestamp (ns),Time (s),X Position (m),Y Position (m),Yaw (rad),Steering Command,trials (times)
37133221888,37.1332,71.839890,-107.375221,-0.410149,-0.311609,1
37183221889,37.1832,71.802284,-107.365967,-0.414864,-0.311609,1
37233221889,37.2332,71.764786,-107.356461,-0.419323,-0.311609,1
37283221890,37.2832,71.726517,-107.346573,-0.423950,-0.311609,1
37333221891,37.3332,71.684898,-107.335258,-0.429079,-0.311609,1
37383221892,37.3832,71.643913,-107.324165,-0.433880,-0.311609,1
37433221892,37.4332,71.603714,-107.312935,-0.439039,0.610865,1
37483221893,37.4832,71.592125,-107.310043,-0.439784,0.610865,1
37533221894,37.5332,71.592178,-107.310097,-0.439784,0.610865,1
37583221895,37.5832,71.592155,-107.310104,-0.439784,0.610865,1
37633221895,37.6332,71.592125,-107.310127,-0.439784,0.610865,1
37683221896,37.6832,71.592087,-107.310127,-0.439785,0.610865,1
37733221897,37.7332,71.592041,-107.310135,-0.439785,0.610865,1
37783221898,37.7832,71.589233,-107.307907,-0.439122,0.610865,1
37833221898,37.8332,71.583580,-107.302826,-0.437627,0.610865,1
37883221899,37.8832,71.576035,-107.295555,-0.435237,0.610865,1
37933221900,37.9332,71.567192,-107.287582,-0.433271,0.610865,1
37983221901,37.9832,71.557785,-107.279015,-0.430231,0.610865,1
38033221901,38.0332,71.546822,-107.268936,-0.426793,0.610865,1
38083221902,38.0832,71.534210,-107.257133,-0.423022,0.610865,1
38133221903,38.1332,71.518257,-107.242569,-0.417938,0.610865,1
38183221904,38.1832,71.501282,-107.227104,-0.412762,0.610865,1
38233221904,38.2332,71.482719,-107.210297,-0.407003,0.610865,1
38283221905,38.2832,71.464500,-107.193810,-0.401406,0.610865,1
38333221906,38.3332,71.445412,-107.176971,-0.395339,0.610865,1
38383221907,38.3832,71.424400,-107.158592,-0.388706,0.610865,1
38433221907,38.4332,71.402954,-107.139999,-0.382207,0.610865,1
38483221908,38.4832,71.381104,-107.121422,-0.375538,0.610865,1
38533221909,38.5332,71.359535,-107.103310,-0.368612,0.610865,1
38583221910,38.5832,71.337334,-107.084877,-0.361972,0.610865,1
38633221910,38.6332,71.315010,-107.066528,-0.355289,0.610865,1
38683221911,38.6832,71.292755,-107.048546,-0.348526,0.610865,1
38733221912,38.7332,71.270386,-107.030731,-0.341888,0.610865,1
38783221913,38.7832,71.248039,-107.013184,-0.335263,0.610865,1
